NumLinha;Tipo BW  /PBI;NomeLink;linkarquivo;QualPagina;TipoBW;AbaNome;#
343;PBI;11° Giro cost deployment VMSA;https://app.powerbi.com/groups/a9e1b5e8-4390-4789-96d1-26a76bb643da/reports/b1764e36-1ed9-4f82-999b-2bb156a3d920/ReportSectionc5c4de703a1fe9e4ba25?experience=power-bi;WCM;PBI;PBI;#
343;PBI;1° Giro Cost Deployment CS&S;https://app.powerbi.com/groups/a9e1b5e8-4390-4789-96d1-26a76bb643da/reports/58cf02e5-c11c-4e98-8141-851e7f5a9185/ReportSectionc5c4de703a1fe9e4ba25?experience=power-bi;WCM;PBI;PBI;#
316;PBI;Iíndice de Refugo CNQ e Retrabalho;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/7f261eed-5f31-4be2-864e-ff5f4bcfdd43?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Indicadores de Qualidade;PBI;PBI;#
317;PBI;Gestão de Ocorências de Mistura;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/fdcd3fe9-878e-442a-a40b-b02d516356ef?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Indicadores de Qualidade;PBI;PBI;#
318;PBI;Capital Investido Operacional;https://app.powerbi.com/groups/7a28a71a-741f-4f16-84c1-22bf7d89d5dd/reports/7472db87-57ad-4901-9e75-685808c2d8bf?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Informações Comerciais;PBI;PBI;#
334;PBI;Evolução de Margem Contábil VMSA;https://app.powerbi.com/groups/9765890b-e9a5-405e-bb9f-2231a73f8d3e/reports/d7fc77fe-9028-41d3-80df-7492e8d1f31d?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare&bookmarkGuid=2a6910de-0b72-4a03-96b1-1a4e0d3f3b77;Custos (Power BI) Análise Margem;PBI;PBI;#
97;BW;Estoque WIP – com depósito;VM_WIP_00000_005;Gestao de Estoque;Query;Gestao de Estoque;#
345;PBI;Result Summary - Power BI;https://app.powerbi.com/groups/5355ace5-a56c-4a01-a876-a2c62b2a03fb/reports/dcefb453-8f8a-4d20-a817-be042fe1406e?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
285;PBI;Result Summary ABUB;https://app.powerbi.com/groups/e0962c82-ed7c-464c-93f2-2b6ca3cfa555/reports/34f4cf79-7e5e-4108-bbec-f60256e56f14?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;ABUB Corporate;PBI;ABUB Corporate;#
342;PBI;Validação K200 - Power BI ;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/9fabf20b-e0b9-416d-9d3a-860cd67f0185/ReportSection8b851bbf99d2b8074153?experience=power-bi;Custos (Power BI) Estoques;PBI;PBI;#
343;PBI;WCM KPI 24 25;https://app.powerbi.com/groups/a9e1b5e8-4390-4789-96d1-26a76bb643da/reports/4bf86018-c137-486c-ad1b-45111e10bb79/ReportSection0c21caa0eee73a10e119?experience=power-bi;WCM;PBI;PBI;#
321;PBI;MATERIAL COST DEVELOPMENT AND ALLOY COSTS;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/5fa5d221-7b43-492e-83ef-f0f5d023a1f0?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
317;PBI;Gestão de Ocorrências de Mistura (ROPRA);https://app.powerbi.com/groups/a4059cad-68b5-49ab-aed4-f30a661d5e39/reports/5cf3acaf-9f48-469a-97e6-67ac34771125/ReportSection2073068e819611153134?experience=power-bi;Custos (Power BI) Indicadores de Qualidade;PBI;PBI;#
225;PBI;Indices Econômicos (Financeiro);https://app.powerbi.com/groups/fff2c34c-23ab-476d-a49c-82a9f9cb237e/reports/d82f43b8-530a-4df2-8edf-ea4ac135c9a4?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Powre BI) Indices Econômicos;PBI;PBI;#
285;PBI;ABUB - 63000 - Income Statement in Total Expenditure Format_Budget;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/52756356-7bcb-4363-a8a8-c3d5fe7cc4f7?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;ABUB Corporate;PBI;ABUB Corporate;#
285;PBI;ABUB - 64000 - Income Statement in Cost of Sales Format_Budget;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/a07be88f-fc99-41f5-9c92-67adf8c6e7dd?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare&bookmarkGuid=168c607f-5877-4f64-9e87-7859da3471cf;ABUB Corporate;PBI;ABUB Corporate;#
285;PBI;ABUB - Balanço Patrimonial (61000+62000)_2024_With Budget;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/ee211341-8863-46e9-95fd-f25e5cd9c1ce?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;ABUB Corporate;PBI;ABUB Corporate;#
285;PBI;ABUB - Working Capital - 6500 - Key Figures - Details;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/d08ff619-cfbd-4ed5-97bc-4de384238ade?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;ABUB Corporate;PBI;ABUB Corporate;#
333;PBI;Custo de Produção - Desempenho;https://app.powerbi.com/links/E57JP3n7wA?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare&bookmarkGuid=973f4280-8b63-4f08-898e-7af2ce7a13f2;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
97;BW;Estoque K200;VM_VMTDFVP01_00000_001;Gestao de Estoque;Query;Gestao de Estoque;#
343;PBI;12° Giro cost deployment VMSA;https://app.powerbi.com/groups/a9e1b5e8-4390-4789-96d1-26a76bb643da/reports/7387b160-7130-4543-b2d0-0c7b87999fae?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;WCM;PBI;PBI;#
